dataset,kind,offset,scale,mae,min,max
A,u16_x25,55175,25,5205.0,25700,186325
A,u16_x25,55176,25,5220.0,25700,621100
A,u16_x25,55177,25,5220.0,25700,186325
A,u16_x25,55178,25,5220.0,25700,621100
A,u16_x25,55179,25,5220.0,25700,186325
A,u16_x10,54898,10,5642.0,2570,82210
A,u16_x10,54895,10,5758.0,2570,215160
A,u16_x2,64014,2,5804.4,0,81984
A,u16_x25,54678,25,6050.0,12850,244150
A,u16_x25,55524,25,6545.0,38550,391100
A,u16_x25,55174,25,6795.0,25700,621100
A,u16_x4,55859,4,6956.0,9260,86168
A,u16_x20,58751,20,7164.0,15440,563400
A,u16_x10,54894,10,7184.0,2570,82210
A,u16_x10,58797,10,7356.0,10460,281700
A,u16_x10,55219,10,7364.0,10280,74530
A,u16_x10,55220,10,7364.0,10280,248440
A,u16_x10,55216,10,7396.0,10280,248440
A,u16_x10,55218,10,7398.0,10280,248440
A,u16_x2,64012,2,7447.6,0,81984
B,u16_x4,54392,4,1849.0,2056,96408
B,u16_x4,54589,4,1849.0,2056,99408
B,u16_x1,3182,1,1854.75,541,45096
B,u16_x4,54629,4,1876.0,2056,86072
B,u16_x10,54655,10,2325.0,5140,215180
B,u16_x5,54172,5,2345.0,3855,107535
B,u16_x5,54173,5,2365.0,3855,124285
B,u16_x5,54179,5,2365.0,3855,124285
B,u16_x5,54180,5,2365.0,3855,107535
B,u16_x10,54650,10,2365.0,5140,97660
B,u16_x10,54656,10,2365.0,5140,97660
B,u16_x10,54657,10,2365.0,5140,215180
B,u16_x10,54658,10,2365.0,5140,97660
B,u16_x10,54659,10,2365.0,5140,215180
B,u16_x10,54660,10,2365.0,5140,97660
B,u16_x5,54178,5,2366.25,3855,107535
B,u16_x10,54653,10,2382.5,5140,215180
B,u16_x5,54451,5,2387.5,3855,124260
B,u16_x10,54649,10,2390.0,5140,215180
B,u16_x5,54440,5,2416.25,3855,138365
